StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q67,Q68,Q73,Q74,Q21_1,Q21_2,Q21_3,Q21_4,Q21_DO,Q66_1,Q66_2,Q66_3,Q66_DO,Q57_1,Q57_2,Q57_3,Q57_4,Q57_5,Q57_6,Q57_7,Q57_DO,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q58_DO,Q59_1,Q59_2,Q59_3,Q59_4,Q59_DO,Q32_1,Q32_2,Q32_3,Q32_4,Q32_DO,Q30,Q32,Q34,Q36,Q36,workerId,sales,salessubjpron,salesobjpron,salesposspron,salessubjproncapit,FL_28_DO,FL_19_DO
2022-01-26 09:51:49,2022-01-26 09:55:35,0,91.229.104.31,100,225,1,2022-01-26 09:55:35,R_2bT4rZgZwvwsp9Y,,,,,33.4474945068359375,-112.08660125732421875,anonymous,EN,A2H8TJDR2NOL8O,,,"Project Activity is basically a milestone, a section or a task that has many sub-tasks under it. In simple words, any activity that requires a number of tasks to be completed in order to complete that activity is known as a project activity.","In order to create an environment in which cooperative learning can take place, three things are necessary. First, students need to feel safe, but also challenged.",5,6,7,6,2|3|4|1,5,2,4,3|2|1,4,5,3,4,3,3,5,4|5|2|6|3|7|1,3,3,4,5,4,5|1|3|2|4,5,4,5,4,4|3|2|1,4,5,4,3,3|4|2|1,53,2,13,4,,A2H8TJDR2NOL8O,Andrew,he,him,his,He,CWVmaniplow,FL_20
2022-01-26 09:54:13,2022-01-26 09:55:56,0,202.182.70.71,100,103,1,2022-01-26 09:55:57,R_2YXMXC5p37a0PsQ,,,,,40.7682952880859375,-73.98020172119140625,anonymous,EN,AIX4R7S9846NE,"Think of a time (like a project or organization or event) when the situation around you felt like a “competitive jungle” with winners and losers — where the people around you were in “dog-eat-dog” competition, everyone doing whatever they could to get ahead, beat others, or win. This should be a situation where you were personally involved. Please try to think of something other than an ordinary sports event (e.g., like a basketball game). In the space below, please write a few sentences describing this situation.
","Think of a time (like a project or organization or event) when the situation around you felt like a “competitive jungle” with winners and losers — where the people around you were in “dog-eat-dog” competition, everyone doing whatever they could to get ahead, beat others, or win. This should be a situation where you were personally involved. Please try to think of something other than an ordinary sports event (e.g., like a basketball game). In the space below, please write a few sentences describing this situation.
",,,7,5,7,4,4|2|1|3,4,4,5,3|2|1,4,4,4,4,5,4,5,7|5|1|4|2|6|3,4,4,4,5,5,5|1|3|2|4,5,5,4,3,2|4|3|1,5,5,4,4,1|2|3|4,36,1,13,4,goof,AIX4R7S9846NE,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:53:59,2022-01-26 09:55:57,0,208.203.217.205,100,118,1,2022-01-26 09:55:57,R_1H8NS13cJLsVKk9,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,AMZLNNY217MQE,,,people cooperating is very nice,very active in this situation,5,5,5,4,1|2|4|3,5,2,4,3|2|1,5,5,4,4,4,3,4,6|4|1|5|3|2|7,5,3,5,4,4,2|1|5|3|4,5,5,4,4,3|2|4|1,5,4,3,4,3|4|1|2,41,2,13,4,,AMZLNNY217MQE,Jennifer,she,her,her,She,CWVmaniplow,FL_36
2022-01-26 09:54:25,2022-01-26 09:56:26,0,202.182.67.242,100,120,1,2022-01-26 09:56:26,R_23fYF5mpBYF8M64,,,,,40.7682952880859375,-73.98020172119140625,anonymous,EN,A2NH73TMA3P04E,"Think of a time (like a project or organization or event) when the situation around you felt like a “competitive jungle” with winners and losers — where the people around you were in “dog-eat-dog” competition, everyone doing whatever they could to get ahead, beat others, or win. This should be a situation where you were personally involved. Please try to think of something other than an ordinary sports event (e.g., like a basketball game). In the space below, please write a few sentences describing this situation.
","Think of a time (like a project or organization or event) when the situation around you felt like a “competitive jungle” with winners and losers — where the people around you were in “dog-eat-dog” competition, everyone doing whatever they could to get ahead, beat others, or win. This should be a situation where you were personally involved. Please try to think of something other than an ordinary sports event (e.g., like a basketball game). In the space below, please write a few sentences describing this situation.
",,,6,5,6,7,1|2|3|4,2,3,4,3|2|1,5,3,5,5,4,4,3,4|5|7|2|6|3|1,3,5,2,4,4,2|4|5|1|3,3,4,4,4,2|3|1|4,4,3,5,3,3|1|2|4,35,1,13,4,"good ",A2NH73TMA3P04E,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:51:00,2022-01-26 09:56:40,0,208.203.223.107,100,340,1,2022-01-26 09:56:40,R_2uw9gAO7oOLTCZj,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,A1H48DL2CMYH7U,"cricket game is very interesting game and my frind in the cricket player very talent player at the same time very cool ",very best,,,7,5,6,6,3|2|1|4,4,2,5,1|2|3,5,5,4,3,4,5,4,7|4|3|1|6|5|2,5,4,5,5,3,5|2|4|3|1,5,4,4,4,2|1|4|3,4,3,4,5,1|2|3|4,33,1,13,4,,A1H48DL2CMYH7U,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:43:55,2022-01-26 09:56:57,0,76.250.217.35,100,782,1,2022-01-26 09:56:58,R_a4Vye4ijdKKjub7,,,,,42.615997314453125,-83.9250030517578125,anonymous,EN,A22HIX1M4QXZBB,"When myself and 4 other students were very close to becoming valedictorian and found out our standings our junior year of high school, it became a ""competitive jungle"". It seemed like all five of us were sabotaging each other left and right and doing whatever we could to get ahead. Each of us knew how important the title of valedictorian was to our future and college career, and were willing to ""fight to the death"" for it, it seemed.","When the competition really got going during our senior year, I started out thinking I would be the one to step back and let them all fight against each other and I could slip into the lead right at the end without them even noticing. It did not work out that way. I ended up becoming just as vicious and mean as the rest of them did, trying to fight my way to victory.",,,3,3,5,7,4|1|2|3,2,2,4,1|2|3,5,5,4,2,4,2,4,7|3|2|6|4|5|1,1,2,5,2,2,1|5|2|4|3,1,1,4,1,4|3|2|1,1,1,2,5,1|3|4|2,34,2,13,3,,A22HIX1M4QXZBB,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:45:22,2022-01-26 09:57:09,0,212.162.151.233,100,707,1,2022-01-26 09:57:10,R_3s4zsSZEEaiNkMR,,,,,41.8777008056640625,-87.637603759765625,anonymous,EN,A1PT01KYWACFKT," It was hosted by Brooke Burns, and had contestants compete against each",Brainstorm a specific instance when you successfully adapted to change.,,,3,4,6,5,1|2|4|3,5,2,1,1|2|3,1,5,3,5,2,1,2,4|7|1|3|5|6|2,5,2,2,4,2,4|5|2|3|1,3,2,1,4,4|3|2|1,2,3,3,1,3|4|1|2,26,1,13,4,,A1PT01KYWACFKT,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:53:39,2022-01-26 09:57:21,0,31.131.11.223,100,222,1,2022-01-26 09:57:22,R_2R2JJtgBXLLAKP1,,,,,39.046905517578125,-77.49030303955078125,anonymous,EN,A22OPXKTGLCX7B,more people was like in a basketball game.,more helpful in a competitive jungle,,,5,4,4,5,3|4|2|1,3,2,3,3|2|1,3,3,3,4,4,3,4,1|4|3|7|6|5|2,3,4,4,3,3,4|3|1|2|5,3,4,4,3,1|3|4|2,4,4,3,3,4|1|3|2,36,2,13,4,good,A22OPXKTGLCX7B,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:54:56,2022-01-26 09:57:36,0,154.22.56.26,100,159,1,2022-01-26 09:57:36,R_2A1jVKaRax21Et0,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,A12DBZUCGKNBKA,I WAS PLAYED A FOOTBALL AND I WILL VERY LIKE TO PLAY ALWAYS AT ANY TIME,IT WAS VERY UNPREDICTABLE SITUATION,,,7,6,6,7,2|1|3|4,4,2,4,3|2|1,5,4,4,4,4,3,3,4|6|3|1|5|7|2,4,4,5,3,4,2|4|5|1|3,5,4,4,5,3|4|2|1,4,4,5,3,2|4|1|3,33,1,13,4,,A12DBZUCGKNBKA,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:52:43,2022-01-26 09:58:12,0,212.162.150.213,100,329,1,2022-01-26 09:58:13,R_RaUn7CQq76OTnrz,,,,,41.8777008056640625,-87.637603759765625,anonymous,EN,A3DGJYQPEQBCEK,"Netball is similar to basketball although the rules, equipment and team numbers are different. There is no dribbling; no running with the ball; 7 players; ball passed within 3 seconds; ball & basket slightly smaller; no backboard; players designated to certain areas.",It makes me easy to act in the netball situation,,,5,4,5,5,2|1|4|3,4,2,3,1|2|3,3,3,3,4,4,4,3,4|1|7|6|3|5|2,4,4,4,3,3,3|1|5|4|2,3,4,3,3,2|1|4|3,3,4,2,4,4|2|3|1,24,1,13,4,none,A3DGJYQPEQBCEK,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:56:07,2022-01-26 09:58:20,0,202.182.67.85,100,133,1,2022-01-26 09:58:20,R_2VJF17fC9vbkVfA,,,,,40.7682952880859375,-73.98020172119140625,anonymous,EN,A25R1D6V6VEERC,"These resources can be limiting factors for where organisms are distributed, ... One will always out-compete the other, so the more competitive species ",good,,,6,7,6,6,2|4|3|1,4,2,4,3|2|1,5,4,5,5,5,4,5,1|2|4|7|6|3|5,5,4,5,5,5,4|2|1|3|5,5,4,5,5,3|2|4|1,5,5,5,4,3|4|1|2,35,1,13,5,good,A25R1D6V6VEERC,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:49:05,2022-01-26 09:58:32,0,73.210.87.235,100,567,1,2022-01-26 09:58:32,R_sbsJYVqT1qzf0WJ,,,,,41.4705963134765625,-87.07830047607421875,anonymous,EN,AHDB4VJG8O4GG,"A competitive game of basketball can be played with as few as the team of 2-on-2, 3-on-3, 4-on-4, or 5-on-5. Each team's roster is typically the same size, but .","It's a jungle out there. While this simple phrase has been used time and time again to discuss the many obstacles people and companies face, ..",,,6,7,7,6,2|1|4|3,5,2,3,3|2|1,5,5,4,4,5,4,5,4|6|5|1|3|7|2,4,4,4,3,4,2|4|5|3|1,5,4,4,5,2|1|3|4,4,4,5,5,1|3|2|4,35,2,13,5,very useful survey,AHDB4VJG8O4GG,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:44:32,2022-01-26 09:59:05,0,73.24.61.188,100,873,1,2022-01-26 09:59:05,R_1lmFWwd2YO90ZvX,,,,,34.6739959716796875,-92.35700225830078125,anonymous,EN,A3MIDLO5S7FU06,At my job we had a competition on who can build the fastest end cap at a grocery store. The prize was 300 bucks. People where talking trash to each other.,I became competitive too. I was distracting people to work faster than them,,,5,6,7,6,3|2|1|4,1,2,5,1|2|3,2,2,1,3,2,2,5,6|3|7|2|5|1|4,3,2,2,1,1,3|5|1|2|4,3,2,4,3,1|3|2|4,4,2,1,5,4|3|1|2,29,1,14,3,,A3MIDLO5S7FU06,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:57:16,2022-01-26 09:59:06,0,202.182.70.7,100,110,1,2022-01-26 09:59:07,R_2THKaooLQ8LGXlh,,,,,40.7682952880859375,-73.98020172119140625,anonymous,EN,A3V1KN6MND5338,"Think of a time (like a project or organization or event) when the situation around you felt like a “competitive jungle” with winners and losers — where the people around you were in “dog-eat-dog” competition, everyone doing whatever they could to get ahead, beat others, or win. This should be a situation where you were personally involved. Please try to think of something other than an ordinary sports event (e.g., like a basketball game). In the space below, please write a few sentences describing this situation.
","Think of a time (like a project or organization or event) when the situation around you felt like a “competitive jungle” with winners and losers — where the people around you were in “dog-eat-dog” competition, everyone doing whatever they could to get ahead, beat others, or win. This should be a situation where you were personally involved. Please try to think of something other than an ordinary sports event (e.g., like a basketball game). In the space below, please write a few sentences describing this situation.
",,,4,5,5,6,1|2|3|4,4,3,4,1|2|3,4,3,4,3,4,3,2,7|4|6|1|2|3|5,4,4,2,3,3,3|5|4|2|1,4,5,4,4,4|1|2|3,5,3,4,4,2|4|3|1,38,1,16,4,goiod,A3V1KN6MND5338,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:55:58,2022-01-26 09:59:32,0,50.231.89.205,100,214,1,2022-01-26 09:59:33,R_2Pe5WVafPIa9JiI,,,,,40.7156982421875,-74,anonymous,EN,A2QL9MM4WO4BFO,,,"Collaborative leaders can span the scope of your business by engaging people outside of their direct control and getting them to work as a team with a common goal. When businesses talk about collaborative leadership, they mean distributed organizational structures that are either cross-unit, cross-functional, or cross-organization. These groups get employees at all levels with a stake in the outcome. This strategy is more about facilitating the group effort than about making decisions for the group. In other words, a collaborative leader leads the group’s process, not the group itself. 

","Another type of collaborative leadership involves performing inside an organization. This occurs when leadership shifts from person to person, based on the problem to be solved. Leadership then becomes the collaborative effort. 

",7,7,7,7,2|1|3|4,5,2,5,1|2|3,5,5,5,5,5,5,5,7|6|1|3|4|5|2,5,5,5,5,5,5|1|4|3|2,5,5,5,5,2|1|3|4,5,5,5,5,4|2|3|1,66,2,13,4,,A2QL9MM4WO4BFO,Jennifer,she,her,her,She,CWVmaniplow,FL_36
2022-01-26 09:53:14,2022-01-26 09:59:38,0,107.72.178.125,100,384,1,2022-01-26 09:59:39,R_2aQv8tsj2IlgrZZ,,,,,28.6343994140625,-81.622100830078125,anonymous,EN,A2RRK8SV0VBLTJ,,,Last week we were taking inventory of our store. Our boss said this will probably take 2 or 3 days but me and my coworkers did it in 1 day. We were all jelling really good with one another and our communication was amazing.,I just asked what our team needed from me and went right to work. I tried to communicate with as straight forward and clear speech as I could. If I needed anything or had questions I'd just ask and get help.,2,2,6,6,1|3|4|2,1,2,5,1|2|3,1,1,1,1,1,1,5,4|5|6|1|3|2|7,1,1,1,1,1,2|3|1|4|5,1,1,5,1,1|2|3|4,1,1,1,5,3|2|1|4,24,1,13,2,No,A2RRK8SV0VBLTJ,Jennifer,she,her,her,She,CWVmaniplow,FL_36
2022-01-26 09:52:59,2022-01-26 10:00:11,0,45.61.146.164,100,432,1,2022-01-26 10:00:12,R_2dmdl54afFsoVlK,,,,,32.8137054443359375,-96.87039947509765625,anonymous,EN,A37YALHDA3OB8M,IN MY WORK PLACE I FEEL VERY COMPETITIVE AND ENERGERTIC. I PUT A LOT OF EFFORTS AND SOME INNOVATIVE CREATIONS. I WIN THAT.,I ACT  LIKE VERY CONFIDENTAL AND POSITIVE. THAT MAKES ME VERY HAPPY AND GOOD.,,,5,6,6,6,2|1|4|3,4,2,3,1|2|3,4,4,5,3,4,5,3,4|5|3|6|7|1|2,4,5,2,3,4,4|3|1|2|5,4,4,3,4,2|1|4|3,2,3,3,3,3|1|2|4,33,2,13,4,,A37YALHDA3OB8M,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:56:09,2022-01-26 10:00:30,0,163.123.222.66,100,261,1,2022-01-26 10:00:31,R_2s71dBp5VCdbr1x,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,A35FRZ22SKHINY,"I wanted to take a look back to find out which jungler champions had the biggest impact on competitive history. The focus will be on champions, ...","Just like in the jungle, if you are not faster than the competition, you can get eaten up. The key question is, “What actions can be taken ",,,7,7,6,7,3|2|1|4,5,2,5,1|2|3,5,5,5,5,5,5,5,6|4|1|5|2|7|3,5,5,5,5,5,1|3|5|4|2,5,5,5,5,1|3|4|2,5,5,5,5,3|2|4|1,35,1,13,4,,A35FRZ22SKHINY,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:51:33,2022-01-26 10:00:35,0,202.182.70.178,100,542,1,2022-01-26 10:00:36,R_239Kjnwi0h7nifA,,,,,40.7682952880859375,-73.98020172119140625,anonymous,EN,A9E56Y16LP4TP,,,"harmonious ",cooperative environment.,6,6,6,5,4|2|1|3,4,5,4,1|2|3,5,4,4,4,3,4,5,5|3|7|6|2|1|4,3,4,5,4,5,1|4|5|2|3,5,5,4,4,3|1|4|2,5,4,5,4,4|1|2|3,33,1,14,5,like,A9E56Y16LP4TP,Jennifer,she,her,her,She,CWVmaniplow,FL_36
2022-01-26 09:47:45,2022-01-26 10:00:48,0,108.166.181.125,100,783,1,2022-01-26 10:00:48,R_W7Bqrfhv8Kj14ad,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,A1PUSSRD8P5HHH,If situation is like above description then we should be patient and  work very carefully . I think specially work should be done with honesty and also need to be hard worker to overcome like this situation.,"I think we should be very much patient and careful then it is possible to adapt in this "" Competitive jungle"". I don't think any other option is there to adapt.",,,6,5,5,6,2|4|1|3,5,2,4,3|2|1,5,4,4,4,5,5,4,1|4|6|3|7|5|2,4,4,5,5,5,3|1|4|2|5,5,4,5,4,3|4|2|1,5,4,2,4,1|4|3|2,35,2,13,4,n/a,A1PUSSRD8P5HHH,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:45:04,2022-01-26 10:01:00,0,66.118.5.28,100,955,1,2022-01-26 10:01:00,R_2aXr7ytS2DJbnVq,,,,,42.75140380859375,-71.5785980224609375,anonymous,EN,A3U3GUB35XHIVR,,,cricket,"willing to cooperate; helpful. 2 acting in conjunction with others; cooperating. a (of an enterprise, farm, etc.) owned collectively and managed for joint economic benefit. b (of an economy or economic activity) based on collective ownership and cooperative use of the means of production and distribution.",6,7,6,6,4|1|3|2,5,2,4,1|2|3,5,4,5,5,5,5,4,2|6|1|5|4|7|3,4,4,5,4,5,3|5|1|2|4,4,4,5,4,3|1|2|4,4,4,4,5,4|2|1|3,32,1,13,4,good,A3U3GUB35XHIVR,Andrew,he,him,his,He,CWVmaniplow,FL_20
2022-01-26 09:50:38,2022-01-26 10:01:23,0,208.203.219.177,100,644,1,2022-01-26 10:01:23,R_3mklq3aIJPm88mO,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,A23YXHK8XKCYC0,When a project is assigned to few teams in a same organization. They try to compete with others. It is the same thing that happened to me.,I skipped my free time and completely engaged in the project.,,,6,5,6,6,1|4|3|2,4,2,3,1|2|3,4,4,4,3,3,4,2,1|5|7|3|2|6|4,4,3,4,4,4,1|4|5|2|3,4,4,3,4,2|4|1|3,4,4,3,4,4|1|2|3,25,2,13,4,,A23YXHK8XKCYC0,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:58:31,2022-01-26 10:01:41,0,212.162.148.44,100,189,1,2022-01-26 10:01:41,R_2Qocg7EuckcOZKN,,,,,41.8777008056640625,-87.637603759765625,anonymous,EN,A2CWADQFILGY80,"The pie is small. You have to scramble to get your share, even if you have to kick some other guy out.",It's a jungle out there. While this simple phrase has been used time and time again to discuss the many obstacles people and companies.,,,6,4,3,6,2|3|1|4,2,2,5,1|2|3,2,2,5,3,4,3,4,1|7|4|2|6|5|3,1,3,5,5,3,3|1|2|5|4,3,1,2,4,2|3|1|4,5,3,5,5,4|2|1|3,26,1,13,4,,A2CWADQFILGY80,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:55:14,2022-01-26 10:02:22,0,208.203.219.149,100,427,1,2022-01-26 10:02:22,R_2w5p1yeWQ37dhyj,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,ABC6P19B4X1FQ,,,"In one organization has make a new project, because they are making a special team for that project. All peoples are working more hard and trusting others to complete that project",Splitting the all works,7,6,6,5,2|1|4|3,5,2,4,3|2|1,3,5,4,3,4,5,4,3|1|2|5|7|4|6,4,5,3,3,4,1|4|3|5|2,5,5,3,4,4|3|1|2,4,3,3,4,4|2|3|1,25,1,13,4,nice survey,ABC6P19B4X1FQ,Jennifer,she,her,her,She,CWVmaniplow,FL_36
2022-01-26 09:59:12,2022-01-26 10:02:55,0,157.49.150.57,100,222,1,2022-01-26 10:02:55,R_80s4gDPkjM48l5D,,,,,11.14239501953125,77.342193603515625,anonymous,EN,A20GD3EBBTBYY2,,,"In uncertain times, you need to be a transparent leader. You have to speak to your team in ways they can understand and relate to. You need to communicate directly and say “Here's what we know, here's what we don't know, and here's what we're doing.”","Co-operatives help to create, improve and protect the income and employment opportunities of their members by pooling the limited individual resources of members to create business enterprises that enable them to participate in production, profit-sharing, cost saving or risk-taking activities.",4,6,5,5,4|1|2|3,4,2,2,1|2|3,4,5,5,5,5,4,4,6|2|4|7|1|3|5,4,4,4,5,3,1|4|2|5|3,5,4,4,3,2|1|4|3,4,5,4,5,1|4|2|3,25,1,13,4,,A20GD3EBBTBYY2,Andrew,he,him,his,He,CWVmaniplow,FL_20
2022-01-26 10:00:00,2022-01-26 10:03:03,0,66.118.4.50,100,182,1,2022-01-26 10:03:03,R_2fHDGraO6Od9V4I,,,,,42.75140380859375,-71.5785980224609375,anonymous,EN,A3MXS41FFQQALM," It's a jungle out there. While this simple phrase has been used time and time again to discuss the many obstacles people and companies face,"," It's a jungle out there. While this simple phrase has been used time and time again to discuss the many obstacles people and companies face,",,,7,7,7,7,3|4|1|2,5,2,5,1|2|3,5,5,5,5,5,5,5,7|2|1|5|3|6|4,5,5,5,5,5,3|1|4|5|2,5,5,5,5,3|4|1|2,5,5,5,5,3|1|4|2,35,1,13,4,,A3MXS41FFQQALM,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:58:35,2022-01-26 10:03:20,0,174.82.210.175,100,284,1,2022-01-26 10:03:20,R_1rxq2jshZIXoNEQ,,,,,45.3134002685546875,-93.580902099609375,anonymous,EN,A397QMUM40C4SH,"a time that makes me think of this was when i was in a competition. it was a fighting competition for wrestling. everyone was trying to win. and be the best ",i used my strength and everything that i had learned and what was taught to me,,,4,5,4,4,1|2|3|4,4,2,3,3|2|1,4,3,3,3,4,3,2,4|3|1|2|6|5|7,4,4,3,3,4,3|4|5|1|2,3,3,2,4,4|2|3|1,3,2,3,3,4|1|2|3,28,2,13,2,,A397QMUM40C4SH,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:56:46,2022-01-26 10:03:31,0,68.115.121.34,100,405,1,2022-01-26 10:03:32,R_BroO54BJoSpmYRb,,,,,34.751800537109375,-82.2555999755859375,anonymous,EN,A22Q2NFQXB84UU,,,My life partner is cooperation in all days.,Understand is very important.,6,6,5,7,1|4|2|3,5,2,4,3|2|1,4,4,5,5,4,4,5,3|2|4|6|1|7|5,4,5,4,5,4,1|2|3|4|5,5,4,5,4,3|2|4|1,4,5,5,4,2|1|3|4,27,2,13,4,This survey is very interesting.,A22Q2NFQXB84UU,Andrew,he,him,his,He,CWVmaniplow,FL_20
2022-01-26 10:01:23,2022-01-26 10:03:38,0,45.150.223.157,100,135,1,2022-01-26 10:03:38,R_26bzUKCLWmxKyyj,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,AD5EE2B6PEH17,"Think of a time (like a project or organization or event) when the situation around you felt like a “competitive jungle” with winners and losers — where the people around you were in “dog-eat-dog” competition, everyone doing whatever they could to get ahead, beat others, or win. This should be a situation where you were personally involved. Please try to think of something other than an ordinary sports event (e.g., like a basketball game). In the space below, please write a few sentences describing this situation.
",AD5EE2B6PEH17,,,6,5,5,5,1|4|3|2,4,4,3,1|2|3,2,3,3,4,4,3,3,5|6|3|1|7|2|4,4,3,3,4,5,5|1|4|3|2,4,3,4,4,3|4|2|1,4,5,4,4,3|1|4|2,35,1,13,4,"good ",AD5EE2B6PEH17,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:52:14,2022-01-26 10:03:46,0,69.174.145.28,100,691,1,2022-01-26 10:03:46,R_31XZmYIpPjU4NmS,,,,,41.88470458984375,-88.30280303955078125,anonymous,EN,A3822BB341LIB2,,,A few of my family members and I were helping my aunt by rebuilding her fence after a bad storm. We took turns to let the others rest. Typically while resting we got food or drinks for the people working.,I did my part when working and tending to the people working while I rested. I would dig holes for the posts mainly. While resting I would mainly be getting water for the others.,5,5,5,7,1|2|3|4,1,2,5,1|2|3,1,2,1,1,1,1,5,3|6|4|5|1|7|2,1,3,1,1,1,5|2|3|1|4,2,2,4,2,4|2|3|1,2,1,1,4,1|3|2|4,27,1,13,3,,A3822BB341LIB2,Jennifer,she,her,her,She,CWVmaniplow,FL_36
2022-01-26 09:53:03,2022-01-26 10:04:05,0,73.240.110.128,100,662,1,2022-01-26 10:04:06,R_sFLS5wlTzNvwFEd,,,,,44.06829833984375,-123.07630157470703125,anonymous,EN,A3A2448SG6QG9B,,,Helping each other saves us a lot of time.,N/A,6,7,4,5,4|2|1|3,5,2,4,3|2|1,5,3,4,3,4,4,3,5|2|4|1|6|3|7,4,3,5,3,4,5|4|2|3|1,4,5,4,3,3|2|1|4,5,3,5,4,3|2|1|4,24,2,13,4,,A3A2448SG6QG9B,Jennifer,she,her,her,She,CWVmaniplow,FL_36
2022-01-26 09:49:06,2022-01-26 10:04:36,0,107.77.215.187,100,930,1,2022-01-26 10:04:36,R_2VmaOv02O3SYZk9,,,,,28.6343994140625,-81.622100830078125,anonymous,EN,A1WA53LG591Q0O,,,I had a job when I was 22 where we were coating pipe for an offshore pipeline and every day we had a goal of how many pieces of pipe to coat. It was a dangerous job with a lot of heavy machinery and everyone helped and looked out for one another.,"I started out jumping from task to task helping out where I was needed and soon landed in a lead role. It was an outdoor job in the summertime in Florida and we worked 12-14 hours a day, 6 days a week. Everyone worked hard and pulled more than their weight and the morale was high. I was always encouraging people and helping which greatly helped me also.",5,4,6,6,1|4|2|3,1,2,5,3|2|1,1,1,1,1,1,1,5,4|3|7|1|2|6|5,1,3,1,1,1,4|1|2|3|5,1,2,5,2,3|2|1|4,2,2,2,4,4|3|1|2,47,1,13,3," No problems with the survey.",A1WA53LG591Q0O,Andrew,he,him,his,He,CWVmaniplow,FL_20
2022-01-26 09:45:52,2022-01-26 10:04:56,0,154.6.22.80,100,1143,1,2022-01-26 10:04:56,R_10AaXgS9ZbFHIIh,,,,,40.7487945556640625,-73.9882965087890625,anonymous,EN,AKNBC1TE88NDO,our work manager had put us in a situation where an Individual with faster writing skills would be given a chance to join him in a vacation in Canada. Everyone was working his socks off and no one would help you incase you wanted some help on the writing skills because no one wanted to miss that vacation.,I googled how to write faster and used ability to write as fast as I could. I also would reject any workmate who wanted help from me.,,,6,6,6,6,1|2|4|3,1,2,5,3|2|1,1,1,1,2,1,2,4,6|4|3|5|7|1|2,1,1,1,1,1,1|5|3|4|2,2,2,4,2,3|2|4|1,3,4,4,1,2|1|3|4,30,2,13,4,,AKNBC1TE88NDO,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:58:06,2022-01-26 10:04:57,0,75.82.131.85,100,411,1,2022-01-26 10:04:58,R_23a5NYdhCmjopzF,,,,,34.197906494140625,-118.53710174560546875,anonymous,EN,A2B47L1Q76U8UB,"There are many sport events that even contribute to a specific local charity, not only helping the sports talent but the locals as well. Sport events encourage community unification and joy for everyone of all ages.","The objective control aspect is extremely obvious: camps spawn less often (vastly increasing the strength of denial found in counterjungling), dragon now provides a passive bonus that scales with items and (therefore game time), and baron gives heavy pushing bonuses in addition to the combat stats it previously gave.",,,6,6,7,6,4|2|1|3,4,2,4,3|2|1,5,5,4,5,5,4,4,7|5|6|2|4|3|1,5,4,5,4,4,4|3|2|1|5,4,5,4,5,3|4|1|2,5,4,4,5,2|4|3|1,59,2,13,4,good,A2B47L1Q76U8UB,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
