StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q67,Q73,Q30,Q31,Q68,Q33,Q34,Q21_1,Q21_2,Q21_3,Q21_4,Q66_1,Q66_2,Q66_3,Q57_1,Q57_2,Q57_3,Q57_4,Q57_5,Q57_6,Q57_7,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Q32_1,Q32_2,Q32_3,Q32_4,Q30,Q32,Q34,Q36,Q36,workerId,condition,sales,salessubjpron,salesobjpron,salesposspron,salessubjproncapit
2022-03-08 07:31:41,2022-03-08 07:41:27,0,208.218.229.17,100,586,1,2022-03-08 07:41:28,R_3D6zsjH8bkkZH4R,,,,,40.5175018310546875,-74.39910125732421875,anonymous,EN,A1J9VZ372FV2QZ,last year I have experienced this situation.  My company searching for another person who done all project and we will also contribute. I try my best to be the first part in that situation but there are many competitors. I have struggled more for won this project and get a promotion.,,5,4,all people are making different project with different ideas.,5,1,5,4,5,7,3,2,2,3,3,4,4,3,4,3,3,3,4,2,3,4,4,3,3,2,3,2,3,2,41,1,1,4,it's an interesting survey,A1J9VZ372FV2QZ,competitive,Andrew,he,him,his,He
2022-03-08 07:33:39,2022-03-08 07:41:32,0,98.5.118.98,100,473,1,2022-03-08 07:41:32,R_1KrU5QU78nqUgW0,,,,,42.1114044189453125,-77.94219970703125,anonymous,EN,A26GEW209KRMAQ,"I competed in a competitive half marathon with prize money awarded top finishers. Many people were focused on their own time and space, including cutting off other runners causing them to slow down.",,4,1,"People were very focused on their own time, I did not witness anyone sacrificing their own time to help others in need (collapsing, needed medical assistance) in order not to jeopardize their time and winning place. People were angry if someone attempted to cut in line to use the restroom before the start of the race as that may cause them to be late and not at the front of the start line.",5,1,5,5,5,7,1,2,5,3,4,2,2,2,2,5,1,3,2,2,2,1,1,5,2,2,2,3,2,4,36,2,1,4,,A26GEW209KRMAQ,competitive,Andrew,he,him,his,He
2022-03-08 07:37:32,2022-03-08 07:41:46,0,99.139.174.9,100,254,1,2022-03-08 07:41:46,R_2xKNFVJhR7xQS3j,,,,,42.9510040283203125,-87.94370269775390625,anonymous,EN,A3KHSD6AHN8TWB,,"Working on a team of two persons to complete monthly files.  Both persons were willing to help and do what ever it takes to complete the month.  ",4,5,"We both split up the work and did what was leaning to our strengths.  ",1,2,3,5,6,6,1,2,4,3,3,3,1,1,2,5,2,4,2,3,1,2,2,4,2,2,2,2,2,5,42,1,1,4,,A3KHSD6AHN8TWB,cooperative,Andrew,he,him,his,He
2022-03-08 07:34:08,2022-03-08 07:41:53,0,68.200.25.224,100,464,1,2022-03-08 07:41:54,R_3mkjfICbAGlASYt,,,,,28.8699951171875,-82.3468017578125,anonymous,EN,A1EU2GVLVPXVQ3,,"When I was getting on a bus last week the driver was having a hard time loading suitcases on the bus.  One guy decided to help and take some of the bags to the area of the bus where the driver was loading them.  I noticed him doing this, so I pitched in and grabbed a couple of bags and took then to the driver alos.",5,3,We took the suitcases to the driver so that he could load them faster on the bus.,2,2,3,5,5,5,2,2,5,2,3,1,1,1,2,5,1,3,2,2,1,2,2,5,2,2,4,4,2,4,67,1,1,3,,A1EU2GVLVPXVQ3,cooperative,Jennifer,she,her,her,She
2022-03-08 07:38:03,2022-03-08 07:42:16,0,69.126.81.180,100,253,1,2022-03-08 07:42:17,R_1Ia9agnpLSBFmGP,,,,,40.7559051513671875,-73.18360137939453125,anonymous,EN,A1VSIU3RECGBSP,,"We recently had an external audit at work/  My dept. was largely responsible for preparation.  We worked as a cooperative unit for 6 months, strengthen our work relationship while relying on each other to get prepared",5,5,We worked towards a common goal,1,2,5,5,4,6,2,2,5,3,3,1,1,1,1,5,1,3,2,1,2,1,2,4,2,2,3,3,1,5,46,1,1,4,,A1VSIU3RECGBSP,cooperative,Jennifer,she,her,her,She
2022-03-08 07:35:39,2022-03-08 07:42:32,0,66.177.173.84,100,413,1,2022-03-08 07:42:32,R_2OHm3HcGUOeeUwJ,,,,,30.31219482421875,-81.72429656982421875,anonymous,EN,A351NFQKQYJOVM,,"During the past few months, I've been helping a friend launch her new podcast. She has brought on several others to help out as well, so we've had to work together on different aspects of this project, including graphic design, script writing, setting up a website, and promotion. We've been able to do this successfully by determining each person's strengths, assigning them tasks that are compatible with the strengths, and doing everything we can to support them. In return, we receive support for our own tasks, so it has been mutually rewarding.",5,5,"Donating money to help buy equipment, editing and critiquing each other's work, encouraging anyone who felt discouraged or unmotivated.",1,2,2,2,6,7,1,2,5,1,1,1,1,1,1,5,1,2,2,2,1,1,1,5,2,2,3,3,1,4,44,2,1,3,,A351NFQKQYJOVM,cooperative,Jennifer,she,her,her,She
2022-03-08 07:36:20,2022-03-08 07:42:40,0,75.139.85.187,100,380,1,2022-03-08 07:42:40,R_27V86j1fFIiDDKC,,,,,34.9333953857421875,-81.968902587890625,anonymous,EN,A38PC570ZB9OWL,,The most cooperative situation I have been in the past 12 months is playing on the trampoline with my daughters and teaching them not to be afraid of the bumps. My youngest has just now become not scared of my heavy footsteps and tendency to knock her off balance. So the three of us worked together with my middle Mija telling me when I was too hard or too soft and how to demonstrate holding the arms behind the head to protect it. We jumped for I don't how long together and it felt like we were teammates.,5,5,We listened to each other. We played together.,2,2,2,2,5,6,2,2,4,4,5,4,4,4,2,4,4,4,4,5,4,4,4,2,4,2,1,2,1,4,35,1,1,3,,A38PC570ZB9OWL,cooperative,Andrew,he,him,his,He
2022-03-08 07:36:00,2022-03-08 07:42:45,0,68.112.112.176,100,404,1,2022-03-08 07:42:45,R_3Oi7oyukgC3zJg9,,,,,43.801300048828125,-91.21340179443359375,anonymous,EN,A2DX9PJPZFJ2WW,,"At work, the other day, my whole team and I worked on getting a new program to work. We all worked really well together and each of us had our own part to do to make sure that the program was running properly. There were times when each of us needed help with that piece of the project and we all jumped in to help each other out.",5,5,We all worked together and helped out each other to make sure that this new program was working right and at optimal speed.,1,2,2,2,6,7,1,2,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,2,2,1,1,5,34,1,1,5,,A2DX9PJPZFJ2WW,cooperative,Andrew,he,him,his,He
2022-03-08 07:37:20,2022-03-08 07:42:46,0,66.112.171.16,100,325,1,2022-03-08 07:42:46,R_3HM1XlBTkArDOTp,,,,,32.5673065185546875,-82.34279632568359375,anonymous,EN,A1AL6LLQZMCX63,I was in a web developer competition to create a based website template with a couple other people.,,5,5,We each had to design and code a website template for  a person and he chose which ones were the best.,3,1,5,5,5,6,3,2,2,4,4,3,3,3,2,4,2,4,3,2,1,4,4,2,4,2,2,2,2,4,31,1,2,2,,A1AL6LLQZMCX63,competitive,Jennifer,she,her,her,She
2022-03-08 07:32:55,2022-03-08 07:42:49,0,47.12.180.133,100,594,1,2022-03-08 07:42:50,R_3DdTz5tyAYS1noy,,,,,46.3520965576171875,-94.1045989990234375,anonymous,EN,AJC7ZTR53JMH3,I am not a competitive person at all. But if I got to choose a situation Itd be when i was playing poker with my nephew. He was pretty serious about winning although he didnt know much about poker. He tried pretty hard. I guess I tried too. we didnt cheat or anything like that though. When we were done I gave him some tips so he might do better next time.,,5,1,My nephew marked down all the hands he had won. Even though the number of hands won dont matter in the end.,4,1,2,6,2,6,1,2,4,2,2,2,2,2,2,4,1,4,3,3,2,2,2,4,2,2,3,2,2,4,43,1,1,3,,AJC7ZTR53JMH3,competitive,Andrew,he,him,his,He
2022-03-08 07:36:01,2022-03-08 07:43:00,0,107.129.43.221,100,418,1,2022-03-08 07:43:01,R_NWn6TD9dLTPPUaJ,,,,,38.7987060546875,-90.5034027099609375,anonymous,EN,A2IC4IMH7G9UKU,"The most competitive I have been was after I was accepted into an internship program for a huge stock broker dealer company. They wanted to fill about 15 jobs and there were 40 of us. We all studied and worked super hard to get those jobs, and eventually I was selected as one of those and I now have an amazing full time job as a stock broker.",,5,5,I think a lot of people tried to make friends with the leader group and always boasted to the leaders at how great they were doing,5,1,6,6,5,3,1,2,5,2,1,1,1,2,2,5,1,4,5,4,1,2,2,5,4,2,4,2,1,4,34,1,1,4,,A2IC4IMH7G9UKU,competitive,Andrew,he,him,his,He
2022-03-08 07:33:11,2022-03-08 07:43:11,0,24.101.247.230,100,599,1,2022-03-08 07:43:11,R_3iR1xVwFu4KoSK6,,,,,41.0272064208984375,-80.751800537109375,anonymous,EN,A371H3PQPR2Z8J,,We were developing a new ad program at work. It required input and thought from several people across our 4 dealerships. We also had to remember the ongoing inventory shortages but be effective in bringing people in. Everyone's thoughts were carefully considered and we reached a consensus. The program was successful - we had record profits despite poor inventory that month. Everyone was happy with the result and felt that we made a very good team.,5,5,People freely shared their knowledge of their individual operations and inventory planning. The creative ideas were discussed and developed among the entire group and the best idea was ultiimately chosen and implemented. Pros and cons were shared openly.,1,2,2,2,7,6,1,4,5,1,1,1,1,1,1,5,1,2,2,1,1,1,1,5,1,2,2,2,1,5,61,1,1,3,"Jennifer should be fired - ",A371H3PQPR2Z8J,cooperative,Jennifer,she,her,her,She
2022-03-08 07:37:20,2022-03-08 07:43:15,0,24.25.130.248,100,355,1,2022-03-08 07:43:16,R_1EYXo0wfQMABqD7,,,,,43.143707275390625,-75.582000732421875,anonymous,EN,A20SPH0DOU37TQ,A few months ago our department at work had a competition for who could get the most customer compliments.,,5,5,We have customer feedback cards throughout our whole store. So our department had a contest on which one of us could get the most.,4,1,2,1,6,6,1,2,5,1,1,1,1,1,1,5,1,1,1,2,1,1,1,4,1,2,1,1,1,5,55,2,1,3,,A20SPH0DOU37TQ,competitive,Andrew,he,him,his,He
2022-03-08 07:32:17,2022-03-08 07:43:22,0,96.234.144.221,100,665,1,2022-03-08 07:43:23,R_1PdzNFVnAAQQqJE,,,,,39.41259765625,-76.5789031982421875,anonymous,EN,A39VDXGL1RVURU,," at work me and my coworkers work together during peak times selling fragrances in a department store where we bond together share sales and achieve our goals of selling promoted products at work. we help each other to achieve sales goals and outperform the division.",5,5,"working together to help each other keep our sales goals and numbers up. ",5,2,7,7,7,7,2,2,5,5,3,2,3,2,1,5,1,5,5,3,1,4,4,3,5,2,2,1,3,4,58,1,1,4,"Andrew was harsh he could have presented his issues in a more positive light. ",A39VDXGL1RVURU,cooperative,Andrew,he,him,his,He
2022-03-08 07:34:15,2022-03-08 07:43:35,0,23.118.209.185,100,559,1,2022-03-08 07:43:35,R_1mVHBpkraC6sraQ,,,,,41.58819580078125,-81.54920196533203125,anonymous,EN,A6JUD4NCQCDWG,"Around the end of the year, its time for bonuses. So naturally everybody is trying to focus on their own situation in order to get the biggest bonus. Coworkers try to stand out more, even at the expense of another co worker.",,5,5,"Would take on more work than they could handle, and leave other employees with less desirable types of work.",3,1,6,7,2,6,1,2,5,2,3,1,3,1,1,5,1,1,1,1,1,3,3,4,3,2,4,1,4,3,36,1,1,3,,A6JUD4NCQCDWG,competitive,Jennifer,she,her,her,She
2022-03-08 07:39:44,2022-03-08 07:43:41,0,24.184.13.234,100,236,1,2022-03-08 07:43:41,R_3McfGBDiwRPRCsg,,,,,41.215301513671875,-73.12329864501953125,anonymous,EN,A36J7W1UEIT2FP,,"when we all started the coat drive ",5,5,"um they lessoned to what need tobe done and just did it ",5,2,6,7,1,7,5,4,1,4,5,4,4,4,4,1,4,4,4,4,4,4,4,1,5,4,2,1,1,4,40,1,6,2,,A36J7W1UEIT2FP,cooperative,Jennifer,she,her,her,She
2022-03-08 07:31:06,2022-03-08 07:43:49,0,76.20.171.180,100,762,1,2022-03-08 07:43:49,R_2Tt1qBzVMfcbzDg,,,,,42.997894287109375,-82.4571990966796875,anonymous,EN,A135S73MSNYHNJ,,"I have been working at the same organization for about 15 years. I've worked with the same team for close to 10. One of my co-workers became very ill a few months ago and had to take extended time off work. Our team came together to divide her caseload so that she nor the team fell behind during her leave. No one complained. Everyone worked together and helped each other out. Those who were able to took on more than those who were only able to extend their available time minimally. We all understood our individual situations and worked together in the best way to tackle the added work. ",5,4,"The team knew that we all had to pitch in for our goals to stay on track. Some individuals were able to take on more work than others. No one complained. Those who were only able to add minimal work to their already overextended caseload still helped out when they did have some downtime. ",1,2,2,2,6,6,1,2,5,2,3,2,1,1,1,1,1,3,2,2,2,1,2,5,2,2,2,2,1,5,44,2,1,4,I did not experience any issues while completing the survey. I really enjoyed the open ended question where I was able to describe a situation. Thank you!,A135S73MSNYHNJ,cooperative,Jennifer,she,her,her,She
2022-03-08 07:31:13,2022-03-08 07:43:49,0,173.215.7.66,100,755,1,2022-03-08 07:43:49,R_ThHBN6FlCRWQoff,,,,,42.477996826171875,-92.04090118408203125,anonymous,EN,A39GRMHHQA3F2N,,"The most cooperative situation I've been in was at my job. Every day, we get really busy during certain times and every one pulls through and is doing multiple tasks at once to get the job done. Every one looks out for one another by being situationally aware of their surrounding and taking initiation to resolve hiccups in the operation. We all have amazing team work and push through until the work is done.",5,5,"An example of what people did that was cooperative in my job; I work as Transportation Security Officer, and during busy times when lots of passengers are coming through, it is important to screen thoroughly, but efficiently to ensure the steady flow of passengers through the checkpoint. Certain things can cause hiccups, such as families with strollers, someone needing additional screening, bin carts needing to be run, etc. We all look out for one another so when we see these situations approaching, such as a family with a stroller, someone just automatically steps up to get the stroller to take to the back to screen without having to call over the radio for someone to get it. This keeps things moving steadily without any holdups.",5,2,5,4,5,7,1,2,5,4,2,1,1,1,1,5,1,2,2,1,1,1,1,5,1,2,1,1,1,5,34,2,1,4,,A39GRMHHQA3F2N,cooperative,Andrew,he,him,his,He
2022-03-08 07:33:29,2022-03-08 07:44:09,0,67.208.197.14,100,640,1,2022-03-08 07:44:09,R_3dSoDAATyoXWRdH,,,,,27.5980987548828125,-81.84980010986328125,anonymous,EN,A2WDF40FA670T9,"I was involved with the local athletics association that managed all of the tournaments for competitive sports. We had a tennis tournament for middle age men and women.  They were some of the most competitive people I've ever been around.  They were angry and cursing on the court. They were trying to intimidate their opponents and the umpire.  It was really just a small, local event and they were acting like it was Wimbledon.  It made a bad feeling for everyone involved the way some of them were acting out their aggression.",,5,5,"Like I already said, they were playing tennis and they were being rude and intimidating towards the other players. They would swear and shout and challenge the calls of the umpires.  They would make jokes about bad shots the other players made, or dare them to try to make a shot.  It was just ugly.",5,1,5,5,5,6,1,2,5,2,3,1,1,1,1,5,1,4,1,2,2,1,1,5,1,2,1,2,1,4,61,1,1,4,The two writing tasks seemed redundant.  There should be greater clarification or separation of the two tasks. It felt like you were asking the same thing twice.,A2WDF40FA670T9,competitive,Andrew,he,him,his,He
2022-03-08 07:39:08,2022-03-08 07:44:39,0,108.31.124.122,100,331,1,2022-03-08 07:44:40,R_1jrzsVIY1vXFKtk,,,,,38.920806884765625,-77.03600311279296875,anonymous,EN,A1D16385AWW742,,Working on tasks and projectS.,2,5,Decide what forms of communication work best.,5,1,6,5,5,6,4,2,4,5,4,5,5,4,5,4,4,5,3,4,4,3,4,4,3,2,4,4,5,4,46,1,1,5,NICE,A1D16385AWW742,cooperative,Andrew,he,him,his,He
2022-03-08 07:35:35,2022-03-08 07:44:40,0,96.2.178.58,100,544,1,2022-03-08 07:44:41,R_1CjuerrI8ifmgFG,,,,,48.226104736328125,-101.29740142822265625,anonymous,EN,A2DF8W7SDWLURD,"Playing a board game. It brought out family member doing everything possible to win including ganging up on one person so they could not win. ",,4,1,"They used another person to gang up on one other person. This was to help them win the game. ",5,1,4,5,5,7,1,2,5,1,2,1,1,1,1,4,1,1,1,1,1,2,1,4,3,2,2,2,1,5,47,2,1,2,,A2DF8W7SDWLURD,competitive,Jennifer,she,her,her,She
2022-03-08 07:38:59,2022-03-08 07:44:48,0,72.241.19.88,100,349,1,2022-03-08 07:44:48,R_1mP33USSSGzYrv3,,,,,41.6331939697265625,-83.57900238037109375,anonymous,EN,A2MYLV7DGUL42B,I was competing in a monthly photo contest. They choose a few photos to highlight and then choose a winner. Its tough when your photo is not chosen. Also someone complained about the same people always being highlighted and winning.,,4,4,People comment on their own photos or others.,4,1,3,3,5,6,1,2,5,2,1,1,1,1,1,5,1,2,1,2,1,2,2,5,2,2,2,2,2,4,57,2,1,4,,A2MYLV7DGUL42B,competitive,Jennifer,she,her,her,She
2022-03-08 07:32:33,2022-03-08 07:45:00,0,76.108.208.19,100,747,1,2022-03-08 07:45:01,R_3CUgJ40UXbbX1KW,,,,,26.8238067626953125,-80.1407012939453125,anonymous,EN,AWKE6RGEUSYZX,"It was probably during the christmas holiday, while at work we had a gift card contest. The winning store in the district would receive a 2500 dollar cash prize to split between the crew. But a individual prize of 1000 dollars to whom ever sold the most gift cards. Everyone was so pushy because they wanted to help all the customers. So we were all pushing and shoving, there was no order at all. Everyone was trying to make there way to the front. It was all fair just hard because everyone was pushing and shoving all the time. But is was the biggest contest that everyone wanted to win. ",,4,5,"Like I said before we had a huge gift card contest at work, since there was a big cash prize at the end it brought out everyone's competitive nature. Everyone was like an animal pushing and clawing to the front to help each and every customer they could to increase their chances of winning.",5,1,5,4,6,5,2,2,3,4,2,2,3,3,1,5,2,1,2,4,1,2,3,5,3,2,4,2,2,5,50,2,1,3,,AWKE6RGEUSYZX,competitive,Jennifer,she,her,her,She
2022-03-08 07:35:24,2022-03-08 07:45:07,0,47.27.98.159,100,582,1,2022-03-08 07:45:07,R_3PGDOnf483ZKbDt,,,,,35.9010009765625,-81.21340179443359375,anonymous,EN,A1OPXC9LR38EV0,"So every year at Christmas we have a big Card game with my family. We play a game called hand and foot. We all put 20 dollars in the pot and whoever wins the game wins the money. It ends up being around 200 dollars on the line. It gets really competitive and everything gets called into question about whether or not someone is cheating or sabotaging the game in anyway. It gets heated at some points but it is really a great time and one of my favorite memories each and every year. ",,4,3,Well when playing the card game you get people yelling at each other or teasing if your team is losing and it just is a really competitive game between us. We get personal with our insults and teasing. You have to have tough skin.,5,1,5,5,6,6,1,2,5,4,3,1,2,3,3,5,1,5,3,2,1,3,2,4,2,2,2,2,1,5,30,1,1,4,Thank you for letting me be apart of this study.,A1OPXC9LR38EV0,competitive,Jennifer,she,her,her,She
2022-03-08 07:36:24,2022-03-08 07:45:10,0,172.58.189.4,100,526,1,2022-03-08 07:45:11,R_1lbh5qEwY5xoS9d,,,,,38.920806884765625,-77.03600311279296875,anonymous,EN,A2IR1END7AM2I5,,"Cool ",4,4,"Great ",3,2,5,6,6,6,3,2,3,4,4,3,3,4,3,4,2,4,3,4,3,3,2,4,4,2,5,1,1,5,34,1,2,2,,A2IR1END7AM2I5,cooperative,Jennifer,she,her,her,She
2022-03-08 07:37:20,2022-03-08 07:45:20,0,12.168.121.4,100,479,1,2022-03-08 07:45:20,R_5vE8pKyKL6J6Gpr,,,,,37.23480224609375,-79.94640350341796875,anonymous,EN,A2UB4DIAFXKIKU,"I played on an indoor soccer team and we were tied.  So our better players would stay in and not come out for the others to play.  There was  a lot of pushing and tripping during this game.  People did not get to play because others would not come out.  ",,5,4,"People would not come out of the game to let others play.  Also pushing and tripping which is not aloud.  ",5,1,5,5,6,6,1,2,5,2,2,2,2,1,1,5,1,3,1,2,1,1,1,5,1,2,4,2,1,5,33,1,1,4,None,A2UB4DIAFXKIKU,competitive,Andrew,he,him,his,He
2022-03-08 07:41:22,2022-03-08 07:45:39,0,98.177.247.159,100,257,1,2022-03-08 07:45:39,R_3xA7WWagABpXnsR,,,,,33.59820556640625,-112.37239837646484375,anonymous,EN,AO0C3ETOTZTVG,The last time I was in this situation it was for a full time position at my job. I and a few other part time employees on my team were tasked with having the highest keep rates on our orders to see who got one of the last two slots.,,5,4,"People started to horde all the easy customers instead of just pulling a few at a time and sending the harder ones around for ""help"".",4,1,3,5,6,7,1,4,5,3,3,1,1,1,2,5,1,4,1,2,1,1,2,4,2,2,2,2,2,4,25,2,1,3,,AO0C3ETOTZTVG,competitive,Jennifer,she,her,her,She
2022-03-08 07:40:33,2022-03-08 07:45:55,0,24.252.248.195,100,321,1,2022-03-08 07:45:55,R_1qWmnMhC0jiSRQL,,,,,41.3843994140625,-81.7003021240234375,anonymous,EN,A6672MUNCQKQG,"I was in a competition for a new role at work.  There were several other applicants for the position, and there was some behind the scenes political motivations ongoing.",,5,2,Other applicants were lobbying behind the scenes for the position.  They were saying things that weren't really true about other applicants.,5,1,5,3,3,6,1,2,5,1,1,1,1,1,1,5,1,4,1,1,1,1,1,5,1,2,2,2,2,3,36,1,1,5,,A6672MUNCQKQG,competitive,Andrew,he,him,his,He
2022-03-08 07:39:37,2022-03-08 07:46:19,0,173.23.74.142,100,401,1,2022-03-08 07:46:19,R_1ptzwHPziFOUIrw,,,,,41.65240478515625,-85.0142974853515625,anonymous,EN,AHGICZGT8U43V,"I resell online and it’s competitive. A lot of the times scalpers will make the prices rise especially around Christmas. It’s saturated so in order to sell you have to prove your item is better than someone else’s or at least your business is more trustworthy than theirs. ",,5,5,"Well buying things at thrift stores can be competitive when there are other resalers and also the listings online are competitive many of the same items for different prices ",5,1,6,5,3,7,1,2,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,2,3,2,1,4,32,2,1,3,,AHGICZGT8U43V,competitive,Andrew,he,him,his,He
2022-03-08 07:35:18,2022-03-08 07:46:37,0,154.27.215.98,100,679,1,2022-03-08 07:46:37,R_2CZAEqbnsaNHJoL,,,,,42.565399169921875,-74.3246002197265625,anonymous,EN,A3L2VS3998R77L,,"There was some local flooding in which  many homes and businesses were damaged. We as a community helped during the initial cleanup of the properties. We worked as a team to help everyone of our neighbors who needed help cleaning up after bad flooding.  ",5,4,"We pumped out basements and low lying homes. We cleaned up mud and debris. We also helped remove furniture/flooring that was damaged during the flood. We brought in new things to replace the damaged properties.  ",1,2,2,5,3,7,1,2,5,2,2,1,1,2,1,5,1,5,2,2,2,1,2,5,2,2,1,1,1,5,59,2,1,3,,A3L2VS3998R77L,cooperative,Jennifer,she,her,her,She
2022-03-08 07:36:19,2022-03-08 07:46:52,0,73.67.3.138,100,632,1,2022-03-08 07:46:52,R_1GPKpdFp7T4HghC,,,,,39.0518035888671875,-94.40460205078125,anonymous,EN,A2Y7OZSW3QB5L3,"The most competitive situation that I can remember took place on a microtask website. There is only a certain number of jobs available, and people were competing against each other for the jobs. Only those who were fast enough to complete the jobs were able to get compensation. It was tough to get ahead and do the jobs as accurately and fast as possible. No one cared about the other person it was just about who can beat out the others. Everyone was selfish and only cared about themselves.",,4,2,People tried to outpace each other in performing a limited amount of jobs.,5,1,3,4,5,7,1,2,5,2,2,2,2,1,1,5,1,4,2,2,1,2,2,5,2,2,1,1,1,5,54,1,1,3,,A2Y7OZSW3QB5L3,competitive,Andrew,he,him,his,He
2022-03-08 07:42:42,2022-03-08 07:46:53,0,98.204.126.152,100,250,1,2022-03-08 07:46:53,R_3325FwLlqTlcvEA,,,,,39.26190185546875,-76.49919891357421875,anonymous,EN,A2MKIXI9X3HJF4,,Me and some of my family members had to organize and carry out a house move out. We had to plan how to get the large furtinture out of the house and then load it in the truck with the most effeciency.,5,4,Me and my uncle took count of all of the pieces of furniture and measured out the space in the truck and planned how to fit it all in.,1,2,3,3,6,7,1,2,5,2,2,1,1,1,1,5,1,2,1,2,1,1,1,5,1,2,2,2,1,4,26,1,1,2,,A2MKIXI9X3HJF4,cooperative,Jennifer,she,her,her,She
2022-03-08 07:43:03,2022-03-08 07:46:55,0,24.47.62.103,100,232,1,2022-03-08 07:46:56,R_RzzYOkSDtFIYdYR,,,,,40.9571990966796875,-74.160400390625,anonymous,EN,A2GRWJOOSAT94F,,a womens forum i attended. everyone was so caring towards one another and we all contributed to the event equally and with love,4,4,"organizing the event together, each person bringing something to add to the event",2,2,5,5,6,6,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,2,2,2,2,2,3,41,2,4,4,,A2GRWJOOSAT94F,cooperative,Andrew,he,him,his,He
2022-03-08 07:37:14,2022-03-08 07:47:14,0,99.26.148.250,100,600,1,2022-03-08 07:47:15,R_9YU2EqNuF26iD05,,,,,33.78729248046875,-117.923095703125,anonymous,EN,A1L6D082DPMF3N,,"My department at work had a deadline that needed to be met by the end of the week. Everyone in my department collaborated and was cooperative in order to meet our goal. We put our scheduling conflicts aside to make it work. ",5,5,"We had scheduling conflicts that people managed to workaround.  We also helped each other out if one person had more work than another. ",1,2,4,5,2,6,1,2,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,2,2,1,1,3,41,1,3,4,,A1L6D082DPMF3N,cooperative,Jennifer,she,her,her,She
2022-03-08 07:32:01,2022-03-08 07:47:19,0,71.244.115.94,100,918,1,2022-03-08 07:47:19,R_2dMyMLv9npw9ryH,,,,,42.6199951171875,-73.83429718017578125,anonymous,EN,A35Z5I09VVHKNS,"I have been trying to get my youtube channel to take off more. i felt competitive with everyone else on youtube, but i realized that I am only competing with myself.",,5,5,some people are negative towards me and unsupportive but i realized that it's because they are jealous.,3,1,3,7,3,7,4,2,2,5,3,3,3,2,3,4,3,3,3,3,3,2,3,4,3,2,3,3,3,3,32,1,1,4,,A35Z5I09VVHKNS,competitive,Jennifer,she,her,her,She
2022-03-08 07:41:21,2022-03-08 07:47:22,0,173.59.41.233,100,360,1,2022-03-08 07:47:23,R_1Fm1Prt0SaQdSn8,,,,,39.91949462890625,-75.15650177001953125,anonymous,EN,A2NEFRREWF33YP,"One of the Admins were up for a ""Head Admin"" position, and I wanted the job. There were five people to choose from, to fill the position, and all are very good at their jobs.",,5,5,A competitor was sneaking into the office overnight and doing extra work to try and take the position from me. I wound up being promoted anyway.,5,1,5,5,6,7,1,2,5,2,2,1,1,1,2,4,1,4,4,2,1,2,1,4,2,2,4,2,4,5,55,2,1,5,,A2NEFRREWF33YP,competitive,Jennifer,she,her,her,She
2022-03-08 07:41:26,2022-03-08 07:47:26,0,128.92.68.98,100,360,1,2022-03-08 07:47:27,R_tEEtoJ6X8TkyLER,,,,,34.862701416015625,-82.318603515625,anonymous,EN,A3191G66DZEGEB,,"We were in a discussion for testing validations for our new medical devices. We need to test several methods between labs and with multiple staff to replicate results.  Because of this cooperative task, we finished our project 3 weeks under scheduled, even with the 2 hiccups we had in method developing. ",5,5,"Because of COVID, we did everything over zoom, however, we all had excellent communication. We were able to delegate tasks to the analysts, bring up issues when they arise, and get responses with each other very quickly.",1,2,5,5,3,6,1,2,5,2,2,1,1,1,2,5,1,3,2,1,2,1,1,5,1,2,2,1,2,4,29,1,1,4,,A3191G66DZEGEB,cooperative,Andrew,he,him,his,He
2022-03-08 07:39:55,2022-03-08 07:47:33,0,73.83.220.151,100,457,1,2022-03-08 07:47:33,R_3fwSpqUmmDs4Wlq,,,,,48.3108062744140625,-122.6322021484375,anonymous,EN,A1IO30MPZ8WEYN,,"I helped my nephew get my moms yard in order. we beat that yard into submission and have it looking great now. ",4,4,We worked together to pull all the weeds and prune the trees. We also cut out a fresh edge on the grass.,4,2,5,5,3,5,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,4,4,2,4,2,4,2,4,2,42,1,1,1,,A1IO30MPZ8WEYN,cooperative,Andrew,he,him,his,He
2022-03-08 07:39:07,2022-03-08 07:47:48,0,73.148.53.254,100,520,1,2022-03-08 07:47:48,R_9zcpVzA3wmVsXkZ,,,,,36.68829345703125,-79.868499755859375,anonymous,EN,A129GA7DAJESE2,"I was at work, and we had a group meeting to discuss a new project. When it came time to decide on what employees would do, a verbal fight or argument arose because some people wanted a certain task that was given to someone else. Everyone wanted to outdo the others.",,4,4,"They had a big disagreement that led into name calling, and fussing over who got what task.",4,1,3,6,3,5,4,2,2,5,5,4,4,4,4,2,3,4,5,4,4,4,4,2,4,2,2,2,1,5,47,2,1,2,,A129GA7DAJESE2,competitive,Andrew,he,him,his,He
